name,affiliation,orig_affiliation,revenue,employees
Ms Jennifer L. Taubert,JOHNSON & JOHNSON,JOHNSON & JOHNSON,85159000,NA
Ms Kathryn E. Wengel,JOHNSON & JOHNSON,JOHNSON & JOHNSON,85159000,NA
Mr Joseph J. Wolk,JOHNSON & JOHNSON,JOHNSON & JOHNSON,85159000,NA
Mr Robert Michael Davis,"MERCK & CO., INC.","MERCK & CO., INC.",60115000,NA
Mr Douglas M. Baker Jr.,"MERCK & CO., INC.","MERCK & CO., INC.",60115000,NA
Ms Mary Ellen Coe,"MERCK & CO., INC.","MERCK & CO., INC.",60115000,NA
Ms Pamela J. Craig,"MERCK & CO., INC.","MERCK & CO., INC.",60115000,NA
Mr Thomas Henry Glocer,"MERCK & CO., INC.","MERCK & CO., INC.",60115000,NA
Dr. Risa J. Lavizzo-Mourey,"MERCK & CO., INC.","MERCK & CO., INC.",60115000,NA
Dr. Stephen L. Mayo,"MERCK & CO., INC.","MERCK & CO., INC.",60115000,NA
Dr. Paul B. Rothman,"MERCK & CO., INC.","MERCK & CO., INC.",60115000,NA
Ms Patricia Fiorello Russo,"MERCK & CO., INC.","MERCK & CO., INC.",60115000,NA
Dr. Christine Edry Seidman,"MERCK & CO., INC.","MERCK & CO., INC.",60115000,NA
Ms Gert Inge Thulin,"MERCK & CO., INC.","MERCK & CO., INC.",60115000,NA
Ms Kathy J. Warden,"MERCK & CO., INC.","MERCK & CO., INC.",60115000,NA
Mr Peter C. Wendell,"MERCK & CO., INC.","MERCK & CO., INC.",60115000,NA
Mr Sanat Chattopadhyay,"MERCK & CO., INC.","MERCK & CO., INC.",60115000,NA
Mr Richard R. Deluca Jr.,"MERCK & CO., INC.","MERCK & CO., INC.",60115000,NA
Ms Cristal N. Downing,"MERCK & CO., INC.","MERCK & CO., INC.",60115000,NA
Mr Mahamane Chirfi Guindo,"MERCK & CO., INC.","MERCK & CO., INC.",60115000,NA
Mr Michael A. Klobuchar,"MERCK & CO., INC.","MERCK & CO., INC.",60115000,NA
Dr. Dean Y. Li,"MERCK & CO., INC.","MERCK & CO., INC.",60115000,NA
Ms Caroline Ann Litchfield,"MERCK & CO., INC.","MERCK & CO., INC.",60115000,NA
Mr Steven C. Mizell,"MERCK & CO., INC.","MERCK & CO., INC.",60115000,NA
Mr Jannie Oosthuizen,"MERCK & CO., INC.","MERCK & CO., INC.",60115000,NA
Mr Joseph E Romanelli,"MERCK & CO., INC.","MERCK & CO., INC.",60115000,NA
Mr David M. Williams,"MERCK & CO., INC.","MERCK & CO., INC.",60115000,NA
Ms Jennifer L. Zachary,"MERCK & CO., INC.","MERCK & CO., INC.",60115000,NA
Dr. Albert Bourla,PFIZER INC,PFIZER INC,58496000,NA
Mr Ronald E. Blaylock,PFIZER INC,PFIZER INC,58496000,NA
Ms Jeanine Bortel,PFIZER INC,PFIZER INC,58496000,NA
Dr. Susan D. Desmond-Hellmann,PFIZER INC,PFIZER INC,58496000,NA
Mr Narayen Shantanu E,PFIZER INC,PFIZER INC,58496000,NA
Mr Joseph James Echevarria JR,PFIZER INC,PFIZER INC,58496000,NA
Dr. Scott Gottlieb,PFIZER INC,PFIZER INC,58496000,NA
Dr. Helen H. Hobbs,PFIZER INC,PFIZER INC,58496000,NA
Dr. Susan Joan Hockfield,PFIZER INC,PFIZER INC,58496000,NA
Ms Suzanne Nora Johnson,PFIZER INC,PFIZER INC,58496000,NA
Dr. Daniel Rudolf Littman,PFIZER INC,PFIZER INC,58496000,NA
Mr James Robert Quincey,PFIZER INC,PFIZER INC,58496000,NA
Mr James Cameron Smith,PFIZER INC,PFIZER INC,58496000,NA
Mr Richard A. Gonzalez,ABBVIE INC.,ABBVIE INC.,58054000,50000
Mr Robert Andrew Michael,ABBVIE INC.,ABBVIE INC.,58054000,50000
Dr. Robert J. Alpern,ABBVIE INC.,ABBVIE INC.,58054000,50000
Mr William H. L. Burnside,ABBVIE INC.,ABBVIE INC.,58054000,50000
Mr Thomas Craig Freyman,ABBVIE INC.,ABBVIE INC.,58054000,50000
Mr Brett Jeffrey Hart,ABBVIE INC.,ABBVIE INC.,58054000,50000
Ms Melody Boone Meyer,ABBVIE INC.,ABBVIE INC.,58054000,50000
Mr Edward J. Rapp,ABBVIE INC.,ABBVIE INC.,58054000,50000
Ms Rebecca B. Roberts,ABBVIE INC.,ABBVIE INC.,58054000,50000
Ms Austin Roxanne S,ABBVIE INC.,ABBVIE INC.,58054000,50000
Mr Glenn F. Tilton,ABBVIE INC.,ABBVIE INC.,58054000,50000
Mr Frederick Heinz Waddell,ABBVIE INC.,ABBVIE INC.,58054000,50000
Mr Brian Lee Durkin,ABBVIE INC.,ABBVIE INC.,58054000,50000
Mr Henry O. Gosebruch,ABBVIE INC.,ABBVIE INC.,58054000,50000
Dr. Thomas J. Hudson,ABBVIE INC.,ABBVIE INC.,58054000,50000
Ms Rae L. Livingston,ABBVIE INC.,ABBVIE INC.,58054000,50000
Mr Scott Thomas Reents,ABBVIE INC.,ABBVIE INC.,58054000,50000
Mr Timothy J. Richmond,ABBVIE INC.,ABBVIE INC.,58054000,50000
Dr. Azita Saleki-Gerhardt,ABBVIE INC.,ABBVIE INC.,58054000,50000
Ms Laura J. Schumacher,ABBVIE INC.,ABBVIE INC.,58054000,50000
Mr Perry C. Siatis,ABBVIE INC.,ABBVIE INC.,58054000,50000
Ms Elaine K. Sorg,ABBVIE INC.,ABBVIE INC.,58054000,50000
Mr Jeffrey Ryan Stewart,ABBVIE INC.,ABBVIE INC.,58054000,50000
Ms Carrie C. Strom,ABBVIE INC.,ABBVIE INC.,58054000,50000
Dr. Hans Joerg Reinhardt,NOVARTIS AG,NOVARTIS AG,55935000,76057
Dr. Simon Elton Moroney,NOVARTIS AG,NOVARTIS AG,55935000,76057
Prof. Dr. med. Nancy Catherine Andrews,NOVARTIS AG,NOVARTIS AG,55935000,76057
Mr Anthonius Christianus Maria Augustinus Buechner,NOVARTIS AG,NOVARTIS AG,55935000,76057
Mr Ton Buechner,NOVARTIS AG,NOVARTIS AG,55935000,76057
Mr Patrice Andre Marie Bula,NOVARTIS AG,NOVARTIS AG,55935000,76057
Ms Ana De Pro Gonzalo,NOVARTIS AG,NOVARTIS AG,55935000,76057
Ms Ana Maria De Pro Gonzalo,NOVARTIS AG,NOVARTIS AG,55935000,76057
Ms Mary Elizabeth Doherty,NOVARTIS AG,NOVARTIS AG,55935000,76057
Ms Ann Marie Fudge,NOVARTIS AG,NOVARTIS AG,55935000,76057
Ms Bridgette Proctor Heller,NOVARTIS AG,NOVARTIS AG,55935000,76057
Mr Daniel Hochstrasser,NOVARTIS AG,NOVARTIS AG,55935000,76057
Drs. Frans Van Houten,NOVARTIS AG,NOVARTIS AG,55935000,76057
Mr Harry Werner Kirsch,NOVARTIS AG,NOVARTIS AG,55935000,76057
Dr. Charles Lazelle Sawyers,NOVARTIS AG,NOVARTIS AG,55935000,76057
Dr. Andreas Von Planta,NOVARTIS AG,NOVARTIS AG,55935000,76057
Mr William Thomas Winters JR,NOVARTIS AG,NOVARTIS AG,55935000,76057
Mr John Douglas Young,NOVARTIS AG,NOVARTIS AG,55935000,76057
Dr. Charlotte Pamer Wieser,NOVARTIS AG,NOVARTIS AG,55935000,76057
Dr. MD Vasant Kalathur Narasimhan,NOVARTIS AG,NOVARTIS AG,55935000,76057
Dr. Shreeram Anant Aradhye,NOVARTIS AG,NOVARTIS AG,55935000,76057
Mr Victor Bulto,NOVARTIS AG,NOVARTIS AG,55935000,76057
Dr. Aharon Gal,NOVARTIS AG,NOVARTIS AG,55935000,76057
Ms Karen Lovette Hale,NOVARTIS AG,NOVARTIS AG,55935000,76057
Dr. Robert William Kowalski,NOVARTIS AG,NOVARTIS AG,55935000,76057
Dr. Steffen Robert Christian Lang,NOVARTIS AG,NOVARTIS AG,55935000,76057
Dr. Fiona Hamilton Marshall,NOVARTIS AG,NOVARTIS AG,55935000,76057
Dr. Klaus Moosmayer,NOVARTIS AG,NOVARTIS AG,55935000,76057
Ms Marie France Tschudin,NOVARTIS AG,NOVARTIS AG,55935000,76057
Dr. Lutz Hegemann,NOVARTIS AG,NOVARTIS AG,55935000,76057
Mr Richard John Saynor,NOVARTIS AG,NOVARTIS AG,55935000,76057
Mr Wolfgang Ulrich Nickl,BAYER AG,BAYER AG,55344780.8462381,101369
Mr Frederic Robert Andre Oudea,SANOFI,SANOFI,52748303.6727905,NA
Mr Christophe Babule,SANOFI,SANOFI,52748303.6727905,NA
Ms Rachel Duan,SANOFI,SANOFI,52748303.6727905,NA
Ms Xiaoying Duan,SANOFI,SANOFI,52748303.6727905,NA
Ms Carole Gabriella Ferrand,SANOFI,SANOFI,52748303.6727905,NA
Mr Paul C. Hudson,SANOFI,SANOFI,52748303.6727905,NA
Ms Lise Kingo,SANOFI,SANOFI,52748303.6727905,NA
Mr Patrick Kron,SANOFI,SANOFI,52748303.6727905,NA
Mr Wolfgang Laux,SANOFI,SANOFI,52748303.6727905,NA
Ms Barbara Lavernos,SANOFI,SANOFI,52748303.6727905,NA
Ms Fabienne Lecorvaisier,SANOFI,SANOFI,52748303.6727905,NA
Mr Gilles Schnepp,SANOFI,SANOFI,52748303.6727905,NA
Ms Fabienne Seigle,SANOFI,SANOFI,52748303.6727905,NA
Ms Diane D. Souza,SANOFI,SANOFI,52748303.6727905,NA
Dr. Thomas Christian Suedhof,SANOFI,SANOFI,52748303.6727905,NA
Mr Ceng Yann Tran,SANOFI,SANOFI,52748303.6727905,NA
Mr Emile Eugene Voest,SANOFI,SANOFI,52748303.6727905,NA
Tran Yann,SANOFI,SANOFI,52748303.6727905,NA
Dr. Antoine Yver,SANOFI,SANOFI,52748303.6727905,NA
Mr William John Sibold,SANOFI,SANOFI,52748303.6727905,NA
Ms Natalie Bickford,SANOFI,SANOFI,52748303.6727905,NA
Mr Olivier Antoine Marie Charmeil,SANOFI,SANOFI,52748303.6727905,NA
Mr Jean Baptiste De Chatillon,SANOFI,SANOFI,52748303.6727905,NA
Mr Brendan O'callaghan,SANOFI,SANOFI,52748303.6727905,NA
Mr Roy Papatheodorou,SANOFI,SANOFI,52748303.6727905,NA
Mr Thomas Triomphe,SANOFI,SANOFI,52748303.6727905,NA
Ms Julie Van Ongevalle,SANOFI,SANOFI,52748303.6727905,NA
Mr Houman Ashrafian,SANOFI,SANOFI,52748303.6727905,NA
Mr Brendan O Callaghan,SANOFI,SANOFI,52748303.6727905,NA
Mr Emmanuel Frenehard,SANOFI,SANOFI,52748303.6727905,NA
Ms Madeleine Roach,SANOFI,SANOFI,52748303.6727905,NA
Mr Arnaud Robert,SANOFI,SANOFI,52748303.6727905,NA
Mr Michel Roger Demare,ASTRAZENECA PLC,ASTRAZENECA PLC,47151000,NA
Mr Euan Angus Ashley,ASTRAZENECA PLC,ASTRAZENECA PLC,47151000,NA
Mr Philip Arthur John Broadley,ASTRAZENECA PLC,ASTRAZENECA PLC,47151000,NA
Ms Deborah Disanzo,ASTRAZENECA PLC,ASTRAZENECA PLC,47151000,NA
Ms Diana Louise Patricia Layfield,ASTRAZENECA PLC,ASTRAZENECA PLC,47151000,NA
Ms Anna Olive Magdelene Manz,ASTRAZENECA PLC,ASTRAZENECA PLC,47151000,NA
Ms Sherilyn Dawn Mccoy,ASTRAZENECA PLC,ASTRAZENECA PLC,47151000,NA
Ms Sherilyn S. Mccoy,ASTRAZENECA PLC,ASTRAZENECA PLC,47151000,NA
Professor Tony Shu Kam Mok,ASTRAZENECA PLC,ASTRAZENECA PLC,47151000,NA
Professor Sabera Nazneen Rahman,ASTRAZENECA PLC,ASTRAZENECA PLC,47151000,NA
Dr. Andreas Rummelt,ASTRAZENECA PLC,ASTRAZENECA PLC,47151000,NA
Dr. Aradhana Sarin,ASTRAZENECA PLC,ASTRAZENECA PLC,47151000,NA
Dr. Pascal Claude Roland Soriot,ASTRAZENECA PLC,ASTRAZENECA PLC,47151000,NA
Mr Marcus Wallenberg,ASTRAZENECA PLC,ASTRAZENECA PLC,47151000,NA
Ms Pam Poon Cheng,ASTRAZENECA PLC,ASTRAZENECA PLC,47151000,NA
Mr Ruud Dobber,ASTRAZENECA PLC,ASTRAZENECA PLC,47151000,NA
Mr Marc Pierre Jean Dunoyer,ASTRAZENECA PLC,ASTRAZENECA PLC,47151000,NA
Mr David Fredrickson,ASTRAZENECA PLC,ASTRAZENECA PLC,47151000,NA
Ms Susan Galbraith,ASTRAZENECA PLC,ASTRAZENECA PLC,47151000,NA
Mr Leif Valdemar Johansson,ASTRAZENECA PLC,ASTRAZENECA PLC,47151000,NA
Dr. Menelas Nicolas Pangalos,ASTRAZENECA PLC,ASTRAZENECA PLC,47151000,NA
Mr Jeffrey A Pott,ASTRAZENECA PLC,ASTRAZENECA PLC,47151000,NA
Dr. Iskra Reic,ASTRAZENECA PLC,ASTRAZENECA PLC,47151000,NA
Dr. Giovanni Caforiomd,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Mr Cornelius M James,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Mr Peter Joseph Arduini,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Dr. Deepak L. Bhatt,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Dr. Christopher S. Boerner,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Dr. Julia A. Haller,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Dr. Manuel Hidalgo Medina,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Ms Paula Ann Price,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Mr Derica Will Rice JR,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Mr Theodore R. Samuels II,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Mr Richard Shaginaw,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Mr Gerald L. Storch,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Dr. Karen H. Vousden,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Ms Phyllis R. Yale,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Dr. Beatrice Anduze-Faris,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Doug Bassett,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Mr Neil Bence,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Cynthia Brogdon,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Ms Miranda Broz,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Ching-Pin Chang,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Ms Charlotte Chapman,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Dr. Roland Chen,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Ms Sharon Cload,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Ms Elizabeth Colston,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Ms Carla Daily,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Mr John Damonti,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Ms Myrtle Davis,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Ms Tinamarie Duff,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Mr David V. Elkins,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Mike Ellis,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Ms Pamela M. Fisher,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Ms Cari Almo Gallman,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Dr. Samit Hirawat,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Mr Patrick Krug,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Mr Adam Lenkowsky,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Ms Sandra Leung,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Mr John Loveseth,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Ms Nataly Manjarrez-Orduno,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Mr Gregory Scott Meyers,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Ms Elizabeth Aston Mily,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Ms Thalia Mingo,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Ms Monique Phillips,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Dr. Robert Plenge,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Ms Ann Marie Powell,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Ms Jennifer Rasing,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Ms Karin Shanahan,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Mr Paul Shay,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Ms Catalina Vargas,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Dr. Rupert J Vessey,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Dr. Estelle Donata Vester-Blokland,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Ms Michelle Weese,BRISTOL-MYERS SQUIBB COMPANY,BRISTOL-MYERS SQUIBB COMPANY,45006000,NA
Mr Robert B. Ford,ABBOTT LABORATORIES,ABBOTT LABORATORIES,40109000,NA
Dr. Robert J. Alpern,ABBOTT LABORATORIES,ABBOTT LABORATORIES,40109000,NA
Ms Claire L. Babineaux-Fontenot,ABBOTT LABORATORIES,ABBOTT LABORATORIES,40109000,NA
Dr. Sally E. Blount,ABBOTT LABORATORIES,ABBOTT LABORATORIES,40109000,NA
Ms Patricia Paola Gonzalez,ABBOTT LABORATORIES,ABBOTT LABORATORIES,40109000,NA
Ms Michelle A. Kumbier,ABBOTT LABORATORIES,ABBOTT LABORATORIES,40109000,NA
General (Usaf Retired) Darren W. Mcdew,ABBOTT LABORATORIES,ABBOTT LABORATORIES,40109000,NA
Ms Nancy Mckinstry,ABBOTT LABORATORIES,ABBOTT LABORATORIES,40109000,NA
Mr Michael G. O'grady,ABBOTT LABORATORIES,ABBOTT LABORATORIES,40109000,NA
Mr William A. Osborn,ABBOTT LABORATORIES,ABBOTT LABORATORIES,40109000,NA
Mr Michael F. Roman,ABBOTT LABORATORIES,ABBOTT LABORATORIES,40109000,NA
Mr Daniel J. Starks,ABBOTT LABORATORIES,ABBOTT LABORATORIES,40109000,NA
Mr John G. Stratton,ABBOTT LABORATORIES,ABBOTT LABORATORIES,40109000,NA
Mr Glenn F. Tilton,ABBOTT LABORATORIES,ABBOTT LABORATORIES,40109000,NA
Mr Gregory Arthur Ahlberg,ABBOTT LABORATORIES,ABBOTT LABORATORIES,40109000,NA
Mr Hubert Lionel Allen,ABBOTT LABORATORIES,ABBOTT LABORATORIES,40109000,NA
Mr Christopher J. Calamari,ABBOTT LABORATORIES,ABBOTT LABORATORIES,40109000,NA
Dr. John Michael Capek,ABBOTT LABORATORIES,ABBOTT LABORATORIES,40109000,NA
Mr Michael Donald Dale,ABBOTT LABORATORIES,ABBOTT LABORATORIES,40109000,NA
Ms Lisa D. Earnhardt,ABBOTT LABORATORIES,ABBOTT LABORATORIES,40109000,NA
Mr Robert Emmett Funck JR,ABBOTT LABORATORIES,ABBOTT LABORATORIES,40109000,NA
Mr John Frederick Ginascol,ABBOTT LABORATORIES,ABBOTT LABORATORIES,40109000,NA
Mr Joseph Scott House,ABBOTT LABORATORIES,ABBOTT LABORATORIES,40109000,NA
Mr Sammy George Karam,ABBOTT LABORATORIES,ABBOTT LABORATORIES,40109000,NA
Mr Joseph Justin Manning,ABBOTT LABORATORIES,ABBOTT LABORATORIES,40109000,NA
Mr Fernando Mateus,ABBOTT LABORATORIES,ABBOTT LABORATORIES,40109000,NA
Ms Mary K. Moreland,ABBOTT LABORATORIES,ABBOTT LABORATORIES,40109000,NA
Mr Louis H. Morrone,ABBOTT LABORATORIES,ABBOTT LABORATORIES,40109000,NA
Mr Michael J. Pederson,ABBOTT LABORATORIES,ABBOTT LABORATORIES,40109000,NA
Mr Daniel Gesua Salvadori,ABBOTT LABORATORIES,ABBOTT LABORATORIES,40109000,NA
Ms Julie L Tyler,ABBOTT LABORATORIES,ABBOTT LABORATORIES,40109000,NA
Ms Andrea F. Wainer,ABBOTT LABORATORIES,ABBOTT LABORATORIES,40109000,NA
Mr Jared L. Watkin,ABBOTT LABORATORIES,ABBOTT LABORATORIES,40109000,NA
Mr Alejandro D Wellisch,ABBOTT LABORATORIES,ABBOTT LABORATORIES,40109000,NA
Mr Randel William Woodgrift,ABBOTT LABORATORIES,ABBOTT LABORATORIES,40109000,NA
Sir Jonathan Richard Symonds,GSK PLC,GSK PLC,39837903.6841393,NA
Ms Elizabeth (Liz) Mckee Anderson,GSK PLC,GSK PLC,39837903.6841393,NA
Doctor Hal V. Barron,GSK PLC,GSK PLC,39837903.6841393,NA
Doctor Anne C. Beal,GSK PLC,GSK PLC,39837903.6841393,NA
Ms Wendy Mira Becker,GSK PLC,GSK PLC,39837903.6841393,NA
Mr Charles Bencroft,GSK PLC,GSK PLC,39837903.6841393,NA
Ms Julie Belita Brown,GSK PLC,GSK PLC,39837903.6841393,NA
Doctor Harry C. Dietz III,GSK PLC,GSK PLC,39837903.6841393,NA
Doctor Jesse L. Goodman,GSK PLC,GSK PLC,39837903.6841393,NA
Mr Urs Rohner,GSK PLC,GSK PLC,39837903.6841393,NA
Doctor Vishal Sikka,GSK PLC,GSK PLC,39837903.6841393,NA
Dame Emma Natasha Walmsley,GSK PLC,GSK PLC,39837903.6841393,NA
Ms Diana Conrad,GSK PLC,GSK PLC,39837903.6841393,NA
Mr James Robert Anthony Ford SR,GSK PLC,GSK PLC,39837903.6841393,NA
Ms Sally Jackson,GSK PLC,GSK PLC,39837903.6841393,NA
Mr Luke Victor Miels,GSK PLC,GSK PLC,39837903.6841393,NA
Ms Shobie Ramakrishnan,GSK PLC,GSK PLC,39837903.6841393,NA
Mr David Simon Redfern,GSK PLC,GSK PLC,39837903.6841393,NA
Mr Regis Jean-Pierre Simard,GSK PLC,GSK PLC,39837903.6841393,NA
Mr Phil C Thomson,GSK PLC,GSK PLC,39837903.6841393,NA
Ms Deborah Jayne Waterhouse,GSK PLC,GSK PLC,39837903.6841393,NA
Mr Tony Wood,GSK PLC,GSK PLC,39837903.6841393,NA
Mr Helgelund Lund,NOVO NORDISK FONDEN,NOVO NORDISK A/S (GUO: NOVO NORDISK FONDEN),34525626.0944903,64319
Mr Jeppe Fonager Christiansen,NOVO NORDISK FONDEN,NOVO NORDISK A/S (GUO: NOVO NORDISK FONDEN),34525626.0944903,64319
Mr Soeren Henrik Thestrup Poulsen,NOVO NORDISK FONDEN,NOVO NORDISK A/S (GUO: NOVO NORDISK FONDEN),34525626.0944903,64319
Mr Mette Boejer Jensen,NOVO NORDISK FONDEN,NOVO NORDISK A/S (GUO: NOVO NORDISK FONDEN),34525626.0944903,64319
